阿育,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいく,アイク,アイク
哀公,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいこう,アイコウ,アイコウ
藍甲,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいこう,アイコウ,アイコウ
相甲,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいこう,アイコウ,アイコウ
合甲,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいこう,アイコウ,アイコウ
会甲,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいこう,アイコウ,アイコウ
藍坂,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさか,アイサカ,アイサカ
会坂,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさか,アイサカ,アイサカ
愛坂,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさか,アイサカ,アイサカ
藍崎,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさき,アイサキ,アイサキ
相崎,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさき,アイサキ,アイサキ
合崎,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさき,アイサキ,アイサキ
会崎,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさき,アイサキ,アイサキ
愛崎,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさき,アイサキ,アイサキ
藍作,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさく,アイサク,アイサク
相作,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさく,アイサク,アイサク
合作,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさく,アイサク,アイサク
会作,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさく,アイサク,アイサク
愛作,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさく,アイサク,アイサク
相去,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさり,アイサリ,アイサリ
逢澤,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさわ,アイサワ,アイサワ
逢沢,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいさわ,アイサワ,アイサワ
相阪,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざか,アイザカ,アイザカ
合阪,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざか,アイザカ,アイザカ
藍坂,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざか,アイザカ,アイザカ
相坂,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざか,アイザカ,アイザカ
合坂,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざか,アイザカ,アイザカ
会坂,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざか,アイザカ,アイザカ
愛坂,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざか,アイザカ,アイザカ
藍崎,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざき,アイザキ,アイザキ
会崎,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざき,アイザキ,アイザキ
逢崎,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざき,アイザキ,アイザキ
愛崎,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざき,アイザキ,アイザキ
藍作,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざく,アイザク,アイザク
相作,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざく,アイザク,アイザク
合作,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざく,アイザク,アイザク
会作,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざく,アイザク,アイザク
愛作,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざく,アイザク,アイザク
東里,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざと,アイザト,アイザト
相去,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざり,アイザリ,アイザリ
愛山,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいざん,アイザン,アイザン
藍嶋,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいしま,アイシマ,アイシマ
合嶋,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいしま,アイシマ,アイシマ
会嶋,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいしま,アイシマ,アイシマ
愛嶋,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいしま,アイシマ,アイシマ
藍島,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいしま,アイシマ,アイシマ
合島,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいしま,アイシマ,アイシマ
会島,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいしま,アイシマ,アイシマ
愛島,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいしま,アイシマ,アイシマ
藍嶋,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいじま,アイジマ,アイジマ
合嶋,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいじま,アイジマ,アイジマ
会嶋,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいじま,アイジマ,アイジマ
愛嶋,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいじま,アイジマ,アイジマ
藍島,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいじま,アイジマ,アイジマ
合島,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいじま,アイジマ,アイジマ
会島,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいじま,アイジマ,アイジマ
愛島,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいじま,アイジマ,アイジマ
愛須,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいす,アイス,アイス
愛洲,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいす,アイス,アイス
藍住,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいずみ,アイズミ,アイズミ
藍曽,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいそ,アイソ,アイソ
藍磯,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいそ,アイソ,アイソ
合曽,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいそ,アイソ,アイソ
合磯,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいそ,アイソ,アイソ
会曽,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいそ,アイソ,アイソ
会磯,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいそ,アイソ,アイソ
愛曽,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいそ,アイソ,アイソ
愛磯,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいそ,アイソ,アイソ
哀宗,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいそう,アイソウ,アイソウ
藍染,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいぞめ,アイゾメ,アイゾメ
相染,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいぞめ,アイゾメ,アイゾメ
合染,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいぞめ,アイゾメ,アイゾメ
会染,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいぞめ,アイゾメ,アイゾメ
愛染,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいぞめ,アイゾメ,アイゾメ
藍知,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいち,アイチ,アイチ
相知,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいち,アイチ,アイチ
合知,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいち,アイチ,アイチ
会知,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいち,アイチ,アイチ
相槻,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいつき,アイツキ,アイツキ
相築,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいつき,アイツキ,アイツキ
藍津,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいづ,アイヅ,アイヅ
合津,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいづ,アイヅ,アイヅ
愛津,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいづ,アイヅ,アイヅ
藍築,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいづき,アイヅキ,アイヅキ
相築,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいづき,アイヅキ,アイヅキ
合築,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいづき,アイヅキ,アイヅキ
会築,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいづき,アイヅキ,アイヅキ
愛築,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいづき,アイヅキ,アイヅキ
哀帝,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいてい,アイテイ,アイテイ
相戸,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいど,アイド,アイド
合戸,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいど,アイド,アイド
藍那,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいな,アイナ,アイナ
合野,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいの,アイノ,アイノ
会野,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいの,アイノ,アイノ
藍野谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいのや,アイノヤ,アイノヤ
藍之谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいのや,アイノヤ,アイノヤ
藍乃谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいのや,アイノヤ,アイノヤ
相之谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいのや,アイノヤ,アイノヤ
相乃谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいのや,アイノヤ,アイノヤ
合野谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいのや,アイノヤ,アイノヤ
合之谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいのや,アイノヤ,アイノヤ
合乃谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいのや,アイノヤ,アイノヤ
会野谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいのや,アイノヤ,アイノヤ
会之谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいのや,アイノヤ,アイノヤ
会乃谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいのや,アイノヤ,アイノヤ
愛野谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいのや,アイノヤ,アイノヤ
愛之谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいのや,アイノヤ,アイノヤ
愛乃谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいのや,アイノヤ,アイノヤ
会原,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいはら,アイハラ,アイハラ
相馬,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
藍葉,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
藍馬,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
藍庭,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
藍場,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
藍羽,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
餐場,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
合葉,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
合馬,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
合羽,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
会葉,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
会馬,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
会庭,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
会羽,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
愛馬,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
愛庭,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
愛羽,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいば,アイバ,アイバ
合原,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいばら,アイバラ,アイバラ
会原,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいばら,アイバラ,アイバラ
亜伊,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいみ,アイミ,アイミ
藍見,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいみ,アイミ,アイミ
合見,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいみ,アイミ,アイミ
愛見,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいみ,アイミ,アイミ
哀見,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいみ,アイミ,アイミ
藍宮,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいみや,アイミヤ,アイミヤ
合宮,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいみや,アイミヤ,アイミヤ
会宮,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいみや,アイミヤ,アイミヤ
愛宮,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいみや,アイミヤ,アイミヤ
哀宮,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいみや,アイミヤ,アイミヤ
藍村,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいむら,アイムラ,アイムラ
東盛,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいもり,アイモリ,アイモリ
藍野,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいや,アイヤ,アイヤ
相野,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいや,アイヤ,アイヤ
合野,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいや,アイヤ,アイヤ
会野,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいや,アイヤ,アイヤ
愛野,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいや,アイヤ,アイヤ
姶良,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あいら,アイラ,アイラ
饗場,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あえば,アエバ,アエバ
青,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あお,アオ,アオ
粟生,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あお,アオ,アオ
阿尾,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あお,アオ,アオ
碧,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおい,アオイ,アオイ
蒼,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおい,アオイ,アオイ
粟生,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおう,アオウ,アオウ
青尾,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおお,アオオ,アオオ
青鹿,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおか,アオカ,アオカ
青柿,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおかき,アオカキ,アオカキ
青垣,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおかき,アオカキ,アオカキ
青方,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおかた,アオカタ,アオカタ
青川,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおかわ,アオカワ,アオカワ
青鹿,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおが,アオガ,アオガ
青川,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおがわ,アオガワ,アオガワ
青笹,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおささ,アオササ,アオササ
青崎,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおざき,アオザキ,アオザキ
青笹,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおざさ,アオザサ,アオザサ
青笹,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおざざ,アオザザ,アオザザ
青澤,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおざわ,アオザワ,アオザワ
青沢,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおざわ,アオザワ,アオザワ
青地,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおじ,アオジ,アオジ
青鹿,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおじか,アオジカ,アオジカ
青芝,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおじば,アオジバ,アオジバ
青嶋,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおじま,アオジマ,アオジマ
青島,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおじま,アオジマ,アオジマ
青田,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおだ,アオダ,アオダ
青谷,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおだに,アオダニ,アオダニ
青塚,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおづか,アオヅカ,アオヅカ
青土,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおと,アオト,アオト
青都,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおと,アオト,アオト
青渡,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおと,アオト,アオト
青杜,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおと,アオト,アオト
青砥,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおとぎ,アオトギ,アオトギ
青渡,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおど,アオド,アオド
青土,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおど,アオド,アオド
青戸,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおど,アオド,アオド
青名,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおな,アオナ,アオナ
青菜,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおな,アオナ,アオナ
碧野,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおの,アオノ,アオノ
青墓,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおはか,アオハカ,アオハカ
青峰,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおみね,アオミネ,アオミネ
青本,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あおもと,アオモト,アオモト
丹,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あか,アカ,アカ
緋井,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかい,アカイ,アカイ
朱井,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかい,アカイ,アカイ
紅井,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかい,アカイ,アカイ
緋居,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかい,アカイ,アカイ
朱居,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかい,アカイ,アカイ
紅居,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかい,アカイ,アカイ
緋池,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかいけ,アカイケ,アカイケ
朱池,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかいけ,アカイケ,アカイケ
紅池,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかいけ,アカイケ,アカイケ
朱石,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかいし,アカイシ,アカイシ
紅石,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかいし,アカイシ,アカイシ
明岩,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかいわ,アカイワ,アカイワ
朱岩,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかいわ,アカイワ,アカイワ
紅岩,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかいわ,アカイワ,アカイワ
赤兄,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかえ,アカエ,アカエ
明尾,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかお,アカオ,アカオ
朱尾,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかお,アカオ,アカオ
紅尾,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかお,アカオ,アカオ
明岡,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかおか,アカオカ,アカオカ
朱岡,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかおか,アカオカ,アカオカ
紅岡,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかおか,アカオカ,アカオカ
明荻,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかおぎ,アカオギ,アカオギ
赤荻,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかおぎ,アカオギ,アカオギ
朱荻,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかおぎ,アカオギ,アカオギ
紅荻,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかおぎ,アカオギ,アカオギ
明尾杉,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかおすぎ,アカオスギ,アカオスギ
赤尾杉,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかおすぎ,アカオスギ,アカオスギ
朱尾杉,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかおすぎ,アカオスギ,アカオスギ
紅尾杉,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかおすぎ,アカオスギ,アカオスギ
明壁,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかかべ,アカカベ,アカカベ
朱壁,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかかべ,アカカベ,アカカベ
紅壁,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかかべ,アカカベ,アカカベ
明賀,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかが,アカガ,アカガ
赤賀,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかが,アカガ,アカガ
朱賀,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかが,アカガ,アカガ
紅賀,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかが,アカガ,アカガ
安加賀,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかが,アカガ,アカガ
明神,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかがみ,アカガミ,アカガミ
明上,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかがみ,アカガミ,アカガミ
明紙,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかがみ,アカガミ,アカガミ
赤上,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかがみ,アカガミ,アカガミ
赤紙,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかがみ,アカガミ,アカガミ
朱神,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかがみ,アカガミ,アカガミ
朱上,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかがみ,アカガミ,アカガミ
朱紙,-1,-1,10000,名詞,固有名詞,人名,性,*,*,あかがみ,アカガミ,アカガミ
